table_name,column_name,data_type,notnull,default_value,primary_key
NL_H1,RaceNum,INTEGER,0,,6
NL_H1,TorokuTosu,INTEGER,0,,0
NL_H1,SyussoTosu,INTEGER,0,,0
NL_H1,HatubaiFlag1,TEXT,0,,0
NL_H1,HatubaiFlag2,TEXT,0,,0
NL_H1,HatubaiFlag3,TEXT,0,,0
NL_H1,HatubaiFlag4,TEXT,0,,0
NL_H1,HatubaiFlag5,TEXT,0,,0
NL_H1,HatubaiFlag6,TEXT,0,,0
NL_H1,HatubaiFlag7,TEXT,0,,0
NL_H1,FukuChakuBaraiKey,TEXT,0,,0
NL_H1,HenkanUma,TEXT,0,,0
NL_H1,HenkanWaku,TEXT,0,,0
NL_H1,HenkanDoWaku,TEXT,0,,0
NL_H1,BetType,TEXT,0,,7
NL_H1,Kumi,TEXT,0,,8
NL_H1,Hyo,BIGINT,0,,0
NL_H1,Ninki,INTEGER,0,,0
NL_H1,TanHyoTotal,BIGINT,0,,0
NL_H1,FukuHyoTotal,BIGINT,0,,0
NL_H1,WakuHyoTotal,BIGINT,0,,0
NL_H1,UmarenHyoTotal,BIGINT,0,,0
NL_H1,WideHyoTotal,BIGINT,0,,0
NL_H1,UmatanHyoTotal,BIGINT,0,,0
NL_H1,SanrenfukuHyoTotal,BIGINT,0,,0
NL_H1,TanHenkanHyoTotal,BIGINT,0,,0
NL_H1,FukuHenkanHyoTotal,BIGINT,0,,0
NL_H1,WakuHenkanHyoTotal,BIGINT,0,,0
NL_H1,UmarenHenkanHyoTotal,BIGINT,0,,0
NL_H1,WideHenkanHyoTotal,BIGINT,0,,0
NL_H1,UmatanHenkanHyoTotal,BIGINT,0,,0
NL_H1,SanrenfukuHenkanHyoTotal,BIGINT,0,,0
NL_H6,RecordSpec,TEXT,0,,0
NL_H6,DataKubun,TEXT,0,,0
NL_H6,MakeDate,TEXT,0,,0
NL_H6,Year,INTEGER,0,,1
NL_H6,MonthDay,INTEGER,0,,2
NL_H6,JyoCD,TEXT,0,,3
NL_H6,Kaiji,INTEGER,0,,4
NL_H6,Nichiji,INTEGER,0,,5
NL_H6,RaceNum,INTEGER,0,,6
NL_H6,TorokuTosu,INTEGER,0,,0
NL_H6,SyussoTosu,INTEGER,0,,0
NL_H6,HatubaiFlag,TEXT,0,,0
NL_H6,HenkanUma,TEXT,0,,0
NL_H6,SanrentanKumi,TEXT,0,,7
NL_H6,SanrentanHyo,BIGINT,0,,0
NL_H6,SanrentanNinki,INTEGER,0,,0
NL_H6,SanrentanHyoTotal,BIGINT,0,,0
NL_H6,SanrentanHenkanHyoTotal,BIGINT,0,,0
NL_H6,RecordDelimiter,TEXT,0,,0
NL_HA,RecordSpec,TEXT,0,,0
NL_HA,DataKubun,TEXT,0,,0
NL_HA,MakeDate,TEXT,0,,0
NL_HA,KaisaiDate,TEXT,0,,1
NL_HA,JyoCD,TEXT,0,,2
NL_HA,Kaiji,TEXT,0,,3
NL_HA,Nichiji,TEXT,0,,4
NL_HA,RaceNum,TEXT,0,,5
NL_HA,TorokuTosu,TEXT,0,,0
NL_HA,SyussoTosu,TEXT,0,,0
NL_HA,HatsubaiFlag,TEXT,0,,0
NL_HA,Reserved,TEXT,0,,0
NL_HA,TotalPay,TEXT,0,,0
NL_HA,PayKumi1,TEXT,0,,0
NL_HA,PayAmount1,TEXT,0,,0
NL_HA,PayKumi2,TEXT,0,,0
NL_HA,PayAmount2,TEXT,0,,0
NL_HA,PayKumi3,TEXT,0,,0
NL_HA,PayAmount3,TEXT,0,,0
NL_HA,PayoutCount,TEXT,0,,0
NL_HC,RecordSpec,TEXT,0,,0
NL_HC,DataKubun,TEXT,0,,0
NL_HC,MakeDate,TEXT,0,,0
NL_HC,ChokyosiCode,TEXT,0,,1
NL_HC,Num,INTEGER,0,,2
NL_HC,SetYear,INTEGER,0,,3
NL_HC,HonSyokinHeichi,BIGINT,0,,0
NL_HC,HonSyokinSyogai,BIGINT,0,,0
NL_HC,FukaSyokinHeichi,BIGINT,0,,0
NL_HC,FukaSyokinSyogai,BIGINT,0,,0
NL_HC,RecordDelimiter,TEXT,0,,0
NL_HN,RecordSpec,TEXT,0,,0
NL_HN,DataKubun,TEXT,0,,0
NL_HN,MakeDate,TEXT,0,,0
NL_HN,HansyokuNum,TEXT,0,,1
NL_HN,reserved,TEXT,0,,0
NL_HN,KettoNum,TEXT,0,,0
NL_HN,DelKubun,TEXT,0,,0
NL_HN,Bamei,TEXT,0,,0
NL_HN,BameiKana,TEXT,0,,0
NL_HN,BameiEng,TEXT,0,,0
NL_HN,BirthYear,INTEGER,0,,0
NL_HN,SexCD,TEXT,0,,0
NL_HN,HinsyuCD,TEXT,0,,0
NL_HN,KeiroCD,TEXT,0,,0
NL_HN,MochiKubun,TEXT,0,,0
NL_HN,ImportYear,INTEGER,0,,0
NL_HN,SanchiName,TEXT,0,,0
NL_HN,FHansyokuNum,TEXT,0,,0
NL_HN,MHansyokuNum,TEXT,0,,0
NL_HN,Reserved_197,TEXT,0,,0
NL_HN,RecordDelimiter,TEXT,0,,0
NL_HR,RecordSpec,TEXT,0,,0
NL_HR,DataKubun,TEXT,0,,0
NL_HR,MakeDate,TEXT,0,,0
NL_HR,Year,INTEGER,0,,1
NL_HR,MonthDay,INTEGER,0,,2
NL_HR,JyoCD,TEXT,0,,3
NL_HR,Kaiji,INTEGER,0,,4
NL_HR,Nichiji,INTEGER,0,,5
NL_HR,RaceNum,INTEGER,0,,6
NL_HR,TorokuTosu,INTEGER,0,,0
NL_HR,SyussoTosu,INTEGER,0,,0
NL_HR,FuseirituFlag1,INTEGER,0,,0
NL_HR,FuseirituFlag2,INTEGER,0,,0
NL_HR,FuseirituFlag3,INTEGER,0,,0
NL_HR,FuseirituFlag4,INTEGER,0,,0
NL_HR,FuseirituFlag5,INTEGER,0,,0
NL_HR,FuseirituFlag6,INTEGER,0,,0
NL_HR,FuseirituFlag7,INTEGER,0,,0
NL_HR,FuseirituFlag8,INTEGER,0,,0
NL_HR,FuseirituFlag9,INTEGER,0,,0
NL_HR,TokubaraiFlag1,INTEGER,0,,0
NL_HR,TokubaraiFlag2,INTEGER,0,,0
NL_HR,TokubaraiFlag3,INTEGER,0,,0
NL_HR,TokubaraiFlag4,INTEGER,0,,0
NL_HR,TokubaraiFlag5,INTEGER,0,,0
NL_HR,TokubaraiFlag6,INTEGER,0,,0
NL_HR,TokubaraiFlag7,INTEGER,0,,0
NL_HR,TokubaraiFlag8,INTEGER,0,,0
NL_HR,TokubaraiFlag9,INTEGER,0,,0
NL_HR,HenkanFlag1,INTEGER,0,,0
NL_HR,HenkanFlag2,INTEGER,0,,0
NL_HR,HenkanFlag3,INTEGER,0,,0
NL_HR,HenkanFlag4,INTEGER,0,,0
NL_HR,HenkanFlag5,INTEGER,0,,0
NL_HR,HenkanFlag6,INTEGER,0,,0
NL_HR,HenkanFlag7,INTEGER,0,,0
NL_HR,HenkanFlag8,INTEGER,0,,0
NL_HR,HenkanFlag9,INTEGER,0,,0
NL_HR,HenkanUma1,TEXT,0,,0
NL_HR,HenkanUma2,TEXT,0,,0
NL_HR,HenkanUma3,TEXT,0,,0
NL_HR,HenkanUma4,TEXT,0,,0
NL_HR,HenkanUma5,TEXT,0,,0
NL_HR,HenkanUma6,TEXT,0,,0
NL_HR,HenkanUma7,TEXT,0,,0
NL_HR,HenkanUma8,TEXT,0,,0
NL_HR,HenkanUma9,TEXT,0,,0
NL_HR,HenkanUma10,TEXT,0,,0
NL_HR,HenkanUma11,TEXT,0,,0
NL_HR,HenkanUma12,TEXT,0,,0
NL_HR,HenkanUma13,TEXT,0,,0
NL_HR,HenkanUma14,TEXT,0,,0
NL_HR,HenkanUma15,TEXT,0,,0
NL_HR,HenkanUma16,TEXT,0,,0
NL_HR,HenkanUma17,TEXT,0,,0
NL_HR,HenkanUma18,TEXT,0,,0
NL_HR,HenkanUma19,TEXT,0,,0
NL_HR,HenkanUma20,TEXT,0,,0
NL_HR,HenkanUma21,TEXT,0,,0
NL_HR,HenkanUma22,TEXT,0,,0
NL_HR,HenkanUma23,TEXT,0,,0
NL_HR,HenkanUma24,TEXT,0,,0
NL_HR,HenkanUma25,TEXT,0,,0
NL_HR,HenkanUma26,TEXT,0,,0
NL_HR,HenkanUma27,TEXT,0,,0
NL_HR,HenkanUma28,TEXT,0,,0
NL_HR,HenkanWaku1,TEXT,0,,0
NL_HR,HenkanWaku2,TEXT,0,,0
NL_HR,HenkanWaku3,TEXT,0,,0
NL_HR,HenkanWaku4,TEXT,0,,0
NL_HR,HenkanWaku5,TEXT,0,,0
NL_HR,HenkanWaku6,TEXT,0,,0
NL_HR,HenkanWaku7,TEXT,0,,0
NL_HR,HenkanWaku8,TEXT,0,,0
NL_HR,HenkanDoWaku1,TEXT,0,,0
NL_HR,HenkanDoWaku2,TEXT,0,,0
NL_HR,HenkanDoWaku3,TEXT,0,,0
NL_HR,HenkanDoWaku4,TEXT,0,,0
NL_HR,HenkanDoWaku5,TEXT,0,,0
NL_HR,HenkanDoWaku6,TEXT,0,,0
NL_HR,HenkanDoWaku7,TEXT,0,,0
NL_HR,HenkanDoWaku8,TEXT,0,,0
NL_HR,TanUmaban,TEXT,0,,0
NL_HR,TanPay,BIGINT,0,,0
NL_HR,TanNinki,INTEGER,0,,0
NL_HR,FukuUmaban,TEXT,0,,0
NL_HR,FukuPay,BIGINT,0,,0
NL_HR,FukuNinki,INTEGER,0,,0
NL_HR,WakuKumi,TEXT,0,,0
NL_HR,WakuPay,BIGINT,0,,0
NL_HR,WakuNinki,INTEGER,0,,0
NL_HR,UmarenKumi,TEXT,0,,0
NL_HR,UmarenPay,BIGINT,0,,0
NL_HR,UmarenNinki,INTEGER,0,,0
NL_HR,WideKumi,TEXT,0,,0
NL_HR,WidePay,BIGINT,0,,0
NL_HR,WideNinki,INTEGER,0,,0
NL_HR,Yobi1,TEXT,0,,0
NL_HR,Yobi2,TEXT,0,,0
NL_HR,Yobi3,TEXT,0,,0
NL_HR,UmatanKumi,TEXT,0,,0
NL_HR,UmatanPay,BIGINT,0,,0
NL_HR,UmatanNinki,INTEGER,0,,0
NL_HR,SanrenfukuKumi,TEXT,0,,0
NL_HR,SanrenfukuPay,BIGINT,0,,0
NL_HR,SanrenfukuNinki,INTEGER,0,,0
NL_HR,SanrentanKumi,TEXT,0,,0
NL_HR,SanrentanPay,BIGINT,0,,0
NL_HR,SanrentanNinki,INTEGER,0,,0
NL_HR,RecordDelimiter,TEXT,0,,0
NL_HS,RecordSpec,TEXT,0,,0
NL_HS,DataKubun,TEXT,0,,0
NL_HS,MakeDate,TEXT,0,,0
NL_HS,KettoNum,TEXT,0,,1
NL_HS,HansyokuFNum,TEXT,0,,0
NL_HS,HansyokuMNum,TEXT,0,,0
NL_HS,BirthYear,INTEGER,0,,0
NL_HS,SaleCode,TEXT,0,,2
NL_HS,SaleHostName,TEXT,0,,0
NL_HS,SaleName,TEXT,0,,0
NL_HS,FromDate,TEXT,0,,3
NL_HS,ToDate,TEXT,0,,0
NL_HS,Barei,INTEGER,0,,0
NL_HS,Price,BIGINT,0,,0
NL_HS,Field15,TEXT,0,,0
NL_HY,RecordSpec,TEXT,0,,0
NL_HY,DataKubun,TEXT,0,,0
NL_HY,MakeDate,TEXT,0,,0
NL_HY,Bamei,TEXT,0,,1
NL_HY,Field5,TEXT,0,,0
NL_HY,Field6,TEXT,0,,0
NL_HY,Field7,TEXT,0,,0
NL_JC,RecordSpec,TEXT,0,,0
NL_JC,DataKubun,TEXT,0,,0
NL_JC,MakeDate,TEXT,0,,0
NL_JC,Year,INTEGER,0,,1
NL_JC,MonthDay,INTEGER,0,,2
NL_JC,JyoCD,TEXT,0,,3
NL_JC,Kaiji,INTEGER,0,,4
NL_JC,Nichiji,INTEGER,0,,5
NL_JC,RaceNum,INTEGER,0,,6
NL_JC,HappyoTime,TEXT,0,,0
NL_JC,Umaban,INTEGER,0,,7
NL_JC,Bamei,TEXT,0,,0
NL_JC,AtoFutan,REAL,0,,0
NL_JC,AtoKisyuCode,TEXT,0,,0
NL_JC,AtoKisyuName,TEXT,0,,0
NL_JC,AtoMinaraiCD,TEXT,0,,0
NL_JC,MaeFutan,REAL,0,,0
NL_JC,MaeKisyuCode,TEXT,0,,0
NL_JC,MaeKisyuName,TEXT,0,,0
NL_JC,MaeMinaraiCD,TEXT,0,,0
NL_JG,RecordSpec,TEXT,0,,0
NL_JG,DataKubun,TEXT,0,,0
NL_JG,MakeDate,TEXT,0,,0
NL_JG,Year,INTEGER,0,,1
NL_JG,MonthDay,INTEGER,0,,2
NL_JG,JyoCD,TEXT,0,,3
NL_JG,Kaiji,INTEGER,0,,4
NL_JG,Nichiji,INTEGER,0,,5
NL_JG,RaceNum,INTEGER,0,,6
NL_JG,KettoNum,TEXT,0,,7
NL_JG,Bamei,TEXT,0,,0
NL_JG,Num,TEXT,0,,0
