race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016011708010603,2016,08,16,16,16,16,16,16,0,16,0
2016011708010604,2016,08,8,8,8,8,8,8,0,8,0
2016011708010605,2016,08,16,16,16,16,16,16,0,16,0
2016011708010606,2016,08,16,16,16,16,16,16,0,16,0
2016011708010607,2016,08,15,15,15,15,15,15,0,15,0
2016011708010608,2016,08,15,15,15,15,15,15,0,15,0
2016011708010609,2016,08,16,16,16,16,16,16,0,16,0
2016011708010610,2016,08,13,13,13,13,13,13,0,13,0
2016011708010611,2016,08,12,12,12,12,12,12,0,12,0
2016011708010612,2016,08,14,14,14,13,14,13,0,13,1
2016012306010701,2016,06,16,16,16,16,16,16,0,16,0
2016012306010702,2016,06,16,16,16,16,16,16,0,16,0
2016012306010703,2016,06,16,16,16,16,16,16,0,16,0
2016012306010704,2016,06,16,16,16,16,16,16,0,16,0
2016012306010705,2016,06,16,16,16,16,16,16,0,16,0
2016012306010706,2016,06,16,16,16,16,16,16,0,16,0
2016012306010707,2016,06,13,13,13,12,13,12,0,12,1
2016012306010708,2016,06,16,16,16,16,16,16,0,16,0
2016012306010709,2016,06,13,13,13,13,13,13,0,13,0
2016012306010710,2016,06,16,16,16,16,16,16,0,16,0
2016012306010711,2016,06,14,14,14,14,14,14,0,14,0
2016012306010712,2016,06,13,13,13,13,13,13,0,13,0
2016012307010301,2016,07,16,16,16,16,16,16,0,16,0
2016012307010302,2016,07,16,16,16,16,16,16,0,16,0
2016012307010303,2016,07,16,16,16,16,16,16,0,16,0
2016012307010304,2016,07,14,14,14,14,14,14,0,14,0
2016012307010305,2016,07,14,14,14,14,14,14,0,14,0
2016012307010306,2016,07,12,12,12,12,12,12,0,12,0
2016012307010307,2016,07,18,18,18,18,18,18,0,18,0
2016012307010308,2016,07,14,14,14,14,14,14,0,14,0
2016012307010309,2016,07,16,16,16,16,16,16,0,16,0
2016012307010310,2016,07,15,15,15,15,15,15,0,15,0
2016012307010311,2016,07,14,14,14,14,14,14,0,14,0
2016012307010312,2016,07,14,14,14,14,14,14,0,14,0
2016012308010701,2016,08,16,16,16,16,16,16,0,16,0
2016012308010702,2016,08,13,13,13,13,13,13,0,13,0
2016012308010703,2016,08,16,16,16,16,16,16,0,16,0
2016012308010704,2016,08,16,16,16,16,16,16,0,16,0
2016012308010705,2016,08,16,16,16,16,16,16,0,16,0
2016012308010706,2016,08,11,11,11,11,11,11,0,11,0
2016012308010707,2016,08,11,11,11,11,11,11,0,11,0
2016012308010708,2016,08,12,12,12,12,12,12,0,12,0
2016012308010709,2016,08,16,16,16,16,16,16,0,16,0
