race_id,year,JyoCD,se_runner_rows,o1_runner_rows,ra_toroku_tosu,ra_syusso_tosu,o1_toroku_tosu,o1_syusso_tosu,missing_o1_rows,valid_tan_rows,has_count_anomaly
2016112008050601,2016,08,15,15,15,14,15,14,0,0,1
2016112608050701,2016,08,16,16,16,15,16,15,0,0,1
2016112608050706,2016,08,16,16,16,15,16,15,0,0,1
2016112708050810,2016,08,17,17,17,16,17,16,0,0,1
2016121706050501,2016,06,16,16,16,15,16,15,0,0,1
2016121706050505,2016,06,16,16,16,15,16,15,0,0,1
2016121709050507,2016,09,15,15,15,14,15,14,0,0,1
2016121806050602,2016,06,16,16,16,15,16,15,0,0,1
2016121807040601,2016,07,16,16,16,15,16,15,0,0,1
2016122306050708,2016,06,16,16,16,15,16,15,0,15,1
2016122306050710,2016,06,12,12,12,11,12,11,0,11,1
2016122306050711,2016,06,9,9,9,8,9,8,0,8,1
2016122309050707,2016,09,16,16,16,15,16,15,0,15,1
2016122406050806,2016,06,15,15,15,14,15,14,0,0,1
2016122409050811,2016,09,16,16,16,15,16,15,0,15,1
2016122509050910,2016,09,16,16,16,15,16,15,0,0,1
2017010506010102,2017,06,16,16,16,15,16,15,0,0,1
2017010708010204,2017,08,16,16,16,15,16,15,0,0,1
2017010708010205,2017,08,16,16,16,15,16,15,0,0,1
2017010808010305,2017,08,16,16,16,15,16,15,0,0,1
2017010808010310,2017,08,10,10,10,9,10,9,0,0,1
2017011407010106,2017,07,16,16,16,15,16,15,0,0,1
2017011507010201,2017,07,16,0,16,0,,,16,0,1
2017011507010202,2017,07,15,0,15,0,,,15,0,1
2017011507010203,2017,07,16,0,16,0,,,16,0,1
2017011507010204,2017,07,14,0,14,0,,,14,0,1
2017011507010205,2017,07,16,0,16,0,,,16,0,1
2017011507010206,2017,07,15,0,15,0,,,15,0,1
2017011507010207,2017,07,16,0,16,0,,,16,0,1
2017011507010208,2017,07,16,0,16,0,,,16,0,1
2017011507010209,2017,07,16,0,16,0,,,16,0,1
2017011507010210,2017,07,16,0,16,0,,,16,0,1
2017011507010211,2017,07,15,0,15,0,,,15,0,1
2017011507010212,2017,07,18,0,18,0,,,18,0,1
2017011508010501,2017,08,16,16,16,0,16,0,0,0,1
2017011508010502,2017,08,14,14,14,0,14,0,0,0,1
2017011508010503,2017,08,16,16,16,0,16,0,0,0,1
2017011508010504,2017,08,11,11,11,0,11,0,0,0,1
2017011508010505,2017,08,16,16,16,0,16,0,0,0,1
2017011508010506,2017,08,16,16,16,0,16,0,0,0,1
2017011508010507,2017,08,15,15,15,0,15,0,0,0,1
2017011508010508,2017,08,16,16,16,0,16,0,0,0,1
2017011508010509,2017,08,16,16,16,0,16,0,0,0,1
2017011508010510,2017,08,9,9,9,0,9,0,0,0,1
2017011508010511,2017,08,14,14,14,0,14,0,0,0,1
2017011508010512,2017,08,9,9,9,0,9,0,0,0,1
2017011607010209,2017,07,16,16,16,15,16,15,0,15,1
2017012106010601,2017,06,16,16,16,15,16,15,0,0,1
2017012107010309,2017,07,13,13,13,12,13,12,0,0,1
2017012207010402,2017,07,16,16,16,15,16,15,0,0,1
2017012805010101,2017,05,16,16,16,15,16,15,0,0,1
2017012808020109,2017,08,9,9,9,8,9,8,0,0,1
2017012908020204,2017,08,13,13,13,12,13,12,0,12,1
2017020508020402,2017,08,14,14,14,13,14,13,0,13,1
2017021108020503,2017,08,16,16,16,15,16,15,0,15,1
2017021108020507,2017,08,16,16,16,15,16,15,0,15,1
2017021110010101,2017,10,16,0,16,0,,,16,0,1
2017021110010102,2017,10,14,0,14,0,,,14,0,1
2017021110010103,2017,10,18,0,18,0,,,18,0,1
2017021110010104,2017,10,14,0,14,0,,,14,0,1
2017021110010105,2017,10,16,0,16,0,,,16,0,1
2017021110010106,2017,10,14,0,14,0,,,14,0,1
2017021110010107,2017,10,16,0,16,0,,,16,0,1
2017021110010108,2017,10,18,0,18,0,,,18,0,1
2017021110010109,2017,10,16,0,16,0,,,16,0,1
2017021110010110,2017,10,12,0,12,0,,,12,0,1
2017021110010111,2017,10,12,0,12,0,,,12,0,1
2017021110010112,2017,10,16,0,16,0,,,16,0,1
2017021208020604,2017,08,10,10,10,9,10,9,0,0,1
2017021210010209,2017,10,16,16,16,15,16,15,0,0,1
2017021210010211,2017,10,15,15,15,14,15,14,0,0,1
2017021805010701,2017,05,16,16,16,15,16,15,0,0,1
2017021805010710,2017,05,14,14,14,13,14,13,0,0,1
2017021808020708,2017,08,16,16,16,15,16,15,0,0,1
