target,feature_set,importance_type,feature,importance,sample_rows
place,market_history,mean_abs_shap,TenkoCD,0.030599378462,5000
place,market_history,mean_abs_shap,TorokuTosu,0.082289229563,5000
place,market_history,mean_abs_shap,TrackCD,0.017416512267,5000
place,market_history,mean_abs_shap,Umaban,0.013704231094,5000
place,market_history,mean_abs_shap,Wakuban,0.013274001797,5000
place,market_history,mean_abs_shap,Year,0.006300281755,5000
place,market_history,mean_abs_shap,YoubiCD,0.012861250755,5000
place,market_history,mean_abs_shap,ZogenFugo,0.007382682247,5000
place,market_history,mean_abs_shap,ZogenSa,0.01099366557,5000
place,market_history,mean_abs_shap,horse_baba_past_starts,0.009409480685,5000
place,market_history,mean_abs_shap,horse_baba_top3_rate,0.006510833442,5000
place,market_history,mean_abs_shap,horse_baba_win_rate,0.037465407097,5000
place,market_history,mean_abs_shap,horse_body_weight_diff_last,0.008647380625,5000
place,market_history,mean_abs_shap,horse_days_since_last,0.066530378943,5000
place,market_history,mean_abs_shap,horse_dist_band_past_starts,0.003643330476,5000
place,market_history,mean_abs_shap,horse_dist_band_top3_rate,0.016271274401,5000
place,market_history,mean_abs_shap,horse_dist_band_win_rate,0.003543499415,5000
place,market_history,mean_abs_shap,horse_distance_diff_last,0.062262003518,5000
place,market_history,mean_abs_shap,horse_futan_diff_last,0.014150063804,5000
place,market_history,mean_abs_shap,horse_jockey_past_starts,0.006167437063,5000
place,market_history,mean_abs_shap,horse_jockey_top3_rate,0.028909071317,5000
place,market_history,mean_abs_shap,horse_jockey_win_rate,0.003173083736,5000
place,market_history,mean_abs_shap,horse_jyo_past_starts,0.003831106011,5000
place,market_history,mean_abs_shap,horse_jyo_top3_rate,0.030235935483,5000
place,market_history,mean_abs_shap,horse_jyo_win_rate,0.010011856529,5000
place,market_history,mean_abs_shap,horse_last1_avg_finish,0.259511696021,5000
place,market_history,mean_abs_shap,horse_last3_avg_finish,0.105992097135,5000
place,market_history,mean_abs_shap,horse_last3_avg_haron_l3,0.08215416716,5000
place,market_history,mean_abs_shap,horse_last3_avg_ninki,0.147096406982,5000
