race_id,data_split,expected_runner_count,unique_entry_id_count,invalid_actual_count,missing_odds_count,invalid_odds_count,missing_prediction_count,actual_positive_count,valid_runner_count,duplicate_entry_id_count,market_exclusion_reason,is_complete_market_race,valid_odds_runner_count,valid_prediction_runner_count
2026011708010610,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010611,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011708010612,latest_holdout,18,18,0,15,0,0,1,3,0,missing_odds_runner,false,3,3
2026011808010709,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011808010710,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026011808010711,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026011808010712,latest_holdout,8,8,0,8,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010801,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010802,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010803,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010804,latest_holdout,15,15,0,15,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010805,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010806,latest_holdout,13,13,0,13,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010807,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010808,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010809,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010810,latest_holdout,10,10,0,10,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010811,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026012406010812,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026012408010801,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026012408010802,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026012408010803,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012408010804,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012408010805,latest_holdout,18,18,0,8,0,0,1,10,0,missing_odds_runner,false,10,10
2026012508010912,latest_holdout,9,9,0,9,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010201,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010202,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010203,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010204,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010205,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010206,latest_holdout,11,11,0,11,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010207,latest_holdout,18,18,0,18,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010208,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010209,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010210,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010211,latest_holdout,12,12,0,12,0,0,1,0,0,missing_odds_runner,false,0,0
2026012510010212,latest_holdout,14,14,0,14,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010101,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
2026013105010102,latest_holdout,16,16,0,16,0,0,1,0,0,missing_odds_runner,false,0,0
