data_split,bin_type,requested_bin_count,actual_bin_count,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
latest_holdout,fixed_width,10,9,5,0.500006647973,0.599891753368,799,0.544204324609,0.574468085106,0.030263760497,place,market_free
latest_holdout,fixed_width,10,9,6,0.600032703724,0.699974376056,435,0.64337536413,0.652873563218,0.009498199088,place,market_free
latest_holdout,fixed_width,10,9,7,0.700257074804,0.799904849238,147,0.73798500493,0.795918367347,0.057933362417,place,market_free
latest_holdout,fixed_width,10,9,8,0.801658113314,0.837895779327,9,0.8187276046,0.888888888889,0.070161284288,place,market_free
latest_holdout,quantile,10,10,0,0.002240732533,0.036634765869,2128,0.024232529361,0.015037593985,-0.009194935376,place,market_free
latest_holdout,quantile,10,10,1,0.036644639004,0.057979885831,2128,0.047312281665,0.041353383459,-0.005958898207,place,market_free
latest_holdout,quantile,10,10,2,0.057985149553,0.081795313442,2127,0.069697256755,0.06535025858,-0.004346998175,place,market_free
latest_holdout,quantile,10,10,3,0.0818023487,0.109885905948,2128,0.095578477795,0.100563909774,0.004985431979,place,market_free
latest_holdout,quantile,10,10,4,0.109887138431,0.144718224183,2127,0.126700344134,0.137752703338,0.011052359204,place,market_free
latest_holdout,quantile,10,10,5,0.144733878059,0.188155095525,2128,0.166372852721,0.173402255639,0.007029402918,place,market_free
latest_holdout,quantile,10,10,6,0.188155196985,0.24517293534,2127,0.214484902532,0.253878702398,0.039393799866,place,market_free
latest_holdout,quantile,10,10,7,0.245184759243,0.322439382444,2128,0.281567392008,0.323778195489,0.042210803481,place,market_free
latest_holdout,quantile,10,10,8,0.322456762155,0.440199227156,2127,0.375982926597,0.420780441937,0.04479751534,place,market_free
latest_holdout,quantile,10,10,9,0.440221788783,0.837895779327,2128,0.552550751426,0.583176691729,0.030625940303,place,market_free
test,fixed_width,10,9,0,0.003175664026,0.099995253823,15850,0.056427741531,0.056277602524,-0.000150139008,place,market_free
test,fixed_width,10,9,1,0.100000939715,0.199991702077,12761,0.146025503736,0.164250450592,0.018224946855,place,market_free
test,fixed_width,10,9,2,0.200031749424,0.299983046492,7887,0.245752959744,0.263217953595,0.017464993851,place,market_free
test,fixed_width,10,9,3,0.300036034213,0.399995776891,5024,0.345427828155,0.380175159236,0.034747331081,place,market_free
test,fixed_width,10,9,4,0.400005069001,0.499934365254,3106,0.445665395824,0.479072762395,0.033407366571,place,market_free
test,fixed_width,10,9,5,0.500002249776,0.599957170093,1751,0.54592134698,0.587093089663,0.041171742683,place,market_free
test,fixed_width,10,9,6,0.60001735244,0.699758536482,831,0.642317122339,0.669073405535,0.026756283197,place,market_free
test,fixed_width,10,9,7,0.700169539586,0.796294411286,258,0.738229471969,0.790697674419,0.05246820245,place,market_free
test,fixed_width,10,9,8,0.801417517,0.894909557707,29,0.830169033143,0.896551724138,0.066382690995,place,market_free
test,quantile,10,10,0,0.003175664026,0.040438785295,4750,0.026752445551,0.022736842105,-0.004015603446,place,market_free
test,quantile,10,10,1,0.040445751438,0.064252130664,4750,0.052403639137,0.051368421053,-0.001035218084,place,market_free
test,quantile,10,10,2,0.064252431392,0.090118747857,4749,0.077102452148,0.082543693409,0.005441241262,place,market_free
test,quantile,10,10,3,0.090128346028,0.120259223758,4750,0.104948468315,0.111368421053,0.006419952738,place,market_free
test,quantile,10,10,4,0.120267650796,0.156740629668,4750,0.137532776076,0.157473684211,0.019940908134,place,market_free
test,quantile,10,10,5,0.156747967376,0.198736739354,4749,0.177162506404,0.200042114129,0.022879607726,place,market_free
test,quantile,10,10,6,0.198738116501,0.252332740367,4750,0.22459804551,0.244842105263,0.020244059753,place,market_free
test,quantile,10,10,7,0.252334917752,0.324220180876,4749,0.286626840218,0.30743314382,0.020806303602,place,market_free
test,quantile,10,10,8,0.324226555832,0.433283030745,4750,0.374198836778,0.404842105263,0.030643268485,place,market_free
test,quantile,10,10,9,0.433294500848,0.894909557707,4750,0.542986344135,0.580842105263,0.037855761128,place,market_free
validation,fixed_width,10,9,0,0.003437411403,0.09998582339,14482,0.056840850752,0.052962298025,-0.003878552727,place,market_free
validation,fixed_width,10,9,1,0.100002436835,0.199985708897,12589,0.14610558838,0.151481452061,0.005375863682,place,market_free
validation,fixed_width,10,9,2,0.2000042546,0.299954678214,8128,0.246642940144,0.267962598425,0.021319658281,place,market_free
validation,fixed_width,10,9,3,0.300009986099,0.399972388063,5140,0.346328627561,0.370428015564,0.024099388004,place,market_free
validation,fixed_width,10,9,4,0.400000456127,0.49999018126,3262,0.446007511876,0.466891477621,0.020883965745,place,market_free
validation,fixed_width,10,9,5,0.500131372949,0.599994938903,1911,0.544298977338,0.578231292517,0.033932315179,place,market_free
validation,fixed_width,10,9,6,0.600055279642,0.699883919199,895,0.643283473326,0.679329608939,0.036046135612,place,market_free
validation,fixed_width,10,9,7,0.700109518394,0.79880077227,301,0.734634365546,0.810631229236,0.07599686369,place,market_free
validation,fixed_width,10,9,8,0.800340445355,0.873877554204,44,0.823356251171,0.863636363636,0.040280112465,place,market_free
validation,quantile,10,10,0,0.003437411403,0.042839553427,4676,0.027952907008,0.020744225834,-0.007208681174,place,market_free
validation,quantile,10,10,1,0.042847013412,0.069231167667,4675,0.055666610262,0.048556149733,-0.007110460529,place,market_free
validation,quantile,10,10,2,0.069237159522,0.097127862318,4675,0.082844188034,0.085989304813,0.003145116779,place,market_free
validation,quantile,10,10,3,0.097130851775,0.12872758232,4675,0.112419864022,0.109090909091,-0.003328954931,place,market_free
validation,quantile,10,10,4,0.12873522703,0.165458979425,4675,0.14652658775,0.153155080214,0.006628492464,place,market_free
validation,quantile,10,10,5,0.165463069393,0.210355125474,4675,0.187067755241,0.20192513369,0.014857378449,place,market_free
validation,quantile,10,10,6,0.210371587111,0.265241326398,4675,0.236605013332,0.256256684492,0.01965167116,place,market_free
validation,quantile,10,10,7,0.265242246834,0.337862017248,4675,0.299001746076,0.32,0.020998253924,place,market_free
validation,quantile,10,10,8,0.337876006843,0.447404277219,4675,0.38809693689,0.416256684492,0.028159747602,place,market_free
validation,quantile,10,10,9,0.447412110297,0.873877554204,4676,0.554700945213,0.585543199316,0.030842254102,place,market_free
latest_holdout,fixed_width,10,9,0,0.001191368218,0.099998722627,8447,0.051944762408,0.054575588966,0.002630826559,place,market_history
latest_holdout,fixed_width,10,9,1,0.100002119182,0.19999293581,5169,0.144654782679,0.167924163281,0.023269380602,place,market_history
latest_holdout,fixed_width,10,9,2,0.200043127332,0.299967165847,3082,0.24519859172,0.290720311486,0.045521719766,place,market_history
latest_holdout,fixed_width,10,9,3,0.300027650413,0.399974534981,2003,0.345467445487,0.402396405392,0.056928959905,place,market_history
latest_holdout,fixed_width,10,9,4,0.40020361958,0.499694122332,1213,0.445392301657,0.498763396538,0.053371094881,place,market_history
latest_holdout,fixed_width,10,9,5,0.500106587878,0.599924776458,751,0.543033219881,0.576564580559,0.033531360678,place,market_history
latest_holdout,fixed_width,10,9,6,0.600091763206,0.699698143864,428,0.641526049995,0.661214953271,0.019688903276,place,market_history
latest_holdout,fixed_width,10,9,7,0.700690991153,0.799104489262,155,0.737985287252,0.793548387097,0.055563099845,place,market_history
latest_holdout,fixed_width,10,9,8,0.800526063578,0.870760903767,28,0.831733693896,0.892857142857,0.061123448961,place,market_history
latest_holdout,quantile,10,10,0,0.001191368218,0.030394969931,2128,0.01956764418,0.012687969925,-0.006879674255,place,market_history
latest_holdout,quantile,10,10,1,0.030408011846,0.05122240569,2128,0.040735789886,0.040413533835,-0.000322256051,place,market_history
latest_holdout,quantile,10,10,2,0.051230470545,0.073755286119,2127,0.062187451778,0.070521861777,0.008334409999,place,market_history
latest_holdout,quantile,10,10,3,0.07376247882,0.100936638513,2128,0.086752597197,0.095864661654,0.009112064458,place,market_history
latest_holdout,quantile,10,10,4,0.100981468315,0.134962937717,2127,0.116922875604,0.13070051716,0.013777641556,place,market_history
latest_holdout,quantile,10,10,5,0.134980837019,0.178285360517,2128,0.156059997024,0.183270676692,0.027210679667,place,market_history
latest_holdout,quantile,10,10,6,0.178286521421,0.234546009074,2127,0.205821312007,0.243065350259,0.037244038252,place,market_history
latest_holdout,quantile,10,10,7,0.234562112075,0.313812150726,2128,0.271345283639,0.327537593985,0.056192310346,place,market_history
latest_holdout,quantile,10,10,8,0.313823435427,0.430937274596,2127,0.366089018672,0.424071462153,0.057982443482,place,market_history
latest_holdout,quantile,10,10,9,0.431265384685,0.870760903767,2128,0.551985405844,0.586936090226,0.034950684382,place,market_history
test,fixed_width,10,9,0,0.001683969757,0.099996144804,16862,0.053384776642,0.05770371249,0.004318935848,place,market_history
test,fixed_width,10,9,1,0.100000989157,0.199995660919,12415,0.146103460609,0.174788562223,0.028685101614,place,market_history
test,fixed_width,10,9,2,0.200017982219,0.299982199774,7639,0.246191886325,0.273072391674,0.026880505349,place,market_history
test,fixed_width,10,9,3,0.300001920554,0.399929226274,4799,0.345930104706,0.382162950615,0.036232845909,place,market_history
test,fixed_width,10,9,4,0.400085132269,0.499852629062,2920,0.444983353416,0.478082191781,0.033098838365,place,market_history
test,fixed_width,10,9,5,0.500030278035,0.599907082805,1695,0.544627120985,0.585250737463,0.040623616478,place,market_history
test,fixed_width,10,9,6,0.600006456289,0.699952936644,838,0.641062731192,0.675417661098,0.034354929906,place,market_history
test,fixed_width,10,9,7,0.700075949328,0.799456243196,278,0.739653901821,0.776978417266,0.037324515446,place,market_history
test,fixed_width,10,9,8,0.801749604043,0.894775575692,51,0.833372706537,0.843137254902,0.009764548365,place,market_history
test,quantile,10,10,0,0.001683969757,0.034831211848,4750,0.022254802481,0.020421052632,-0.001833749849,place,market_history
test,quantile,10,10,1,0.034833766038,0.05793184255,4750,0.04617239825,0.052842105263,0.006669707013,place,market_history
test,quantile,10,10,2,0.057931884595,0.083800785201,4749,0.07059510882,0.075173720783,0.004578611963,place,market_history
test,quantile,10,10,3,0.083817450671,0.113990639309,4750,0.0986031752,0.112421052632,0.013817877431,place,market_history
test,quantile,10,10,4,0.113995280063,0.15008238478,4750,0.13140995405,0.158736842105,0.027326888055,place,market_history
test,quantile,10,10,5,0.150088545396,0.19192770712,4749,0.170260055516,0.200252684776,0.02999262926,place,market_history
test,quantile,10,10,6,0.191933779407,0.246462163387,4750,0.21809213584,0.253894736842,0.035802601002,place,market_history
test,quantile,10,10,7,0.246485388834,0.318915543821,4749,0.280472925107,0.306590861234,0.026117936127,place,market_history
test,quantile,10,10,8,0.318916024128,0.428921594603,4750,0.368981974969,0.402315789474,0.033333814505,place,market_history
test,quantile,10,10,9,0.428947426415,0.894775575692,4750,0.543300419436,0.580842105263,0.037541685828,place,market_history
validation,fixed_width,10,9,0,0.001668343315,0.099993402606,15305,0.054264336925,0.053969291081,-0.000295045844,place,market_history
validation,fixed_width,10,9,1,0.100001448257,0.199990538501,12203,0.146273489278,0.157010571171,0.010737081894,place,market_history
