data_split,bin_type,bin_id,lower_bound,upper_bound,count,mean_pred_probability,actual_rate,calibration_gap,target,feature_set
latest_holdout,fixed_width,5,0.5010985834920005,0.5974517949045014,29,0.5471593425856212,0.4482758620689655,-0.09888348051665563,win,market_history
latest_holdout,fixed_width,6,0.6027320336854697,0.6595356270193484,7,0.6249436055675442,0.2857142857142857,-0.33922931985325855,win,market_history
latest_holdout,fixed_width,7,0.7380336547225937,0.7380336547225937,1,0.7380336547225937,1.0,0.26196634527740625,win,market_history
validation,quantile,0,0.0008201395758104372,0.00917513216035361,4676,0.006025228547704134,0.003421727972626176,-0.0026035005750779583,win,market_history
validation,quantile,1,0.009176471130858815,0.015865992175789646,4675,0.012411007889018126,0.01090909090909091,-0.0015019169799272165,win,market_history
validation,quantile,2,0.015867702010584465,0.02336491016560206,4675,0.019530013687082324,0.018609625668449196,-0.0009203880186331274,win,market_history
validation,quantile,3,0.02336556068696761,0.03244787973571863,4675,0.027819345664278235,0.02588235294117647,-0.0019369927231017645,win,market_history
validation,quantile,4,0.03244963418902699,0.0442077676167552,4675,0.03812893445841429,0.0374331550802139,-0.0006957793782003882,win,market_history
validation,quantile,5,0.04420853067073939,0.05951481607333572,4676,0.05145954387974055,0.05089820359281437,-0.0005613402869261777,win,market_history
validation,quantile,6,0.05951602219265229,0.08072746365700735,4675,0.06946153945178671,0.07850267379679145,0.00904113434500474,win,market_history
validation,quantile,7,0.08073173021694,0.11242102433307041,4675,0.0952730292072439,0.10374331550802139,0.008470286300777494,win,market_history
validation,quantile,8,0.11242352610890491,0.16749588385418582,4675,0.13642995967835667,0.1493048128342246,0.012874853155867921,win,market_history
validation,quantile,9,0.1675174506792527,0.6893884391877789,4675,0.24515187566785296,0.2613903743315508,0.016238498663697865,win,market_history
test,quantile,0,0.0006971197923626117,0.008432142484257455,4750,0.005634298729797079,0.0035789473684210526,-0.0020553513613760263,win,market_history
test,quantile,1,0.008432356710075185,0.014385165857358308,4750,0.011338506668460452,0.014736842105263158,0.0033983354368027057,win,market_history
test,quantile,2,0.014385627284204314,0.021653054659399564,4750,0.017909845209107943,0.016421052631578947,-0.001488792577528996,win,market_history
test,quantile,3,0.02165424811684806,0.030273709104531137,4749,0.025810255378285588,0.02695304274584123,0.0011427873675556414,win,market_history
test,quantile,4,0.03027593366222152,0.04161952780080142,4750,0.035708256486212515,0.04,0.004291743513787485,win,market_history
test,quantile,5,0.04162052333303554,0.05623906665570117,4750,0.048627984164151004,0.048842105263157895,0.00021412109900689064,win,market_history
test,quantile,6,0.056239615940193714,0.07637802166350219,4749,0.06580437888319558,0.07412086755106338,0.0083164886678678,win,market_history
test,quantile,7,0.0763816950564403,0.10669115612721286,4750,0.09055279625270338,0.1,0.009447203747296629,win,market_history
test,quantile,8,0.10670399229392626,0.16102236225457994,4750,0.13059919244212875,0.14126315789473684,0.010663965452608087,win,market_history
test,quantile,9,0.16102383127547276,0.7506164530241876,4749,0.23838307412764287,0.262792166771952,0.024409092644309127,win,market_history
