data_split,bin,rows,avg_pred_probability,actual_rate,actual_minus_pred,target,feature_set
test,3,556,0.33801603758365334,0.3381294964028777,0.00011345881922436574,win,market_history
test,4,171,0.4406498576442118,0.4152046783625731,-0.025445179281638697,win,market_history
test,5,45,0.5376039762139005,0.4222222222222222,-0.11538175399167833,win,market_history
test,6,11,0.6312423959286749,0.7272727272727273,0.09603033134405237,win,market_history
test,7,2,0.731240240502971,0.0,-0.731240240502971,win,market_history
latest_holdout,0,16828,0.03429968054676439,0.03880437366294272,0.004504693116178328,win,market_history
latest_holdout,1,3125,0.14036142520658787,0.15712,0.01675857479341214,win,market_history
latest_holdout,2,934,0.2408434538426812,0.24732334047109208,0.006479886628410897,win,market_history
latest_holdout,3,286,0.339506768457413,0.3006993006993007,-0.038807467758112335,win,market_history
latest_holdout,4,66,0.43512830151753606,0.45454545454545453,0.019417153027918466,win,market_history
latest_holdout,5,29,0.5471593425856212,0.4482758620689655,-0.09888348051665563,win,market_history
latest_holdout,6,7,0.6249436055675442,0.2857142857142857,-0.33922931985325855,win,market_history
latest_holdout,7,1,0.7380336547225937,1.0,0.26196634527740625,win,market_history
validation,0,35918,0.03569453870024148,0.035692410490561835,-2.1282096796457206e-6,win,market_aware
validation,1,7485,0.13947129807951733,0.1531062124248497,0.013634914345332372,win,market_aware
validation,2,2248,0.24075628026008694,0.25756227758007116,0.016805997319984223,win,market_aware
validation,3,735,0.33970004275250326,0.3564625850340136,0.016762542281510362,win,market_aware
validation,4,227,0.4449215680425872,0.45374449339207046,0.008822925349483257,win,market_aware
validation,5,94,0.5491956636756764,0.6702127659574468,0.12101710228177043,win,market_aware
validation,6,39,0.635387242713445,0.5641025641025641,-0.07128467861088095,win,market_aware
validation,7,6,0.7355590210707267,0.5,-0.23555902107072668,win,market_aware
test,0,37186,0.03535413340074813,0.03794438767278008,0.0025902542720319457,win,market_aware
test,1,7257,0.1396790814435128,0.15212897891690783,0.012449897473395033,win,market_aware
test,2,2101,0.24124103269845146,0.28129462160875773,0.040053588910306276,win,market_aware
test,3,645,0.33919778712767157,0.34108527131782945,0.0018874841901578843,win,market_aware
test,4,190,0.44481274451012637,0.37894736842105264,-0.06586537608907372,win,market_aware
test,5,81,0.5454930934565619,0.5185185185185185,-0.02697457493804345,win,market_aware
test,6,34,0.6374587541137047,0.5882352941176471,-0.049223459996057595,win,market_aware
test,7,3,0.7207014134055808,0.3333333333333333,-0.3873680800722475,win,market_aware
latest_holdout,0,16826,0.03324363228605241,0.03601569000356591,0.0027720577175134944,win,market_aware
