target,feature_set,feature,importance
place,market_history,horse_body_weight_diff_last,0.49723296110640347
place,market_history,horse_last5_win_rate,0.4910933522286027
place,market_history,ZogenSa,0.4411073329263143
place,market_history,Kaiji,0.3960395251539834
place,market_history,horse_last5_ren_rate,0.39302934497083447
place,market_history,horse_jyo_win_rate,0.377967549746615
place,market_history,Year,0.3707014346177989
place,market_history,horse_baba_past_starts,0.3345596179450354
place,market_history,horse_jockey_past_starts,0.31351712831734585
place,market_history,JyokenCD4,0.3067791205796791
place,market_history,JyokenCD1,0.2855415339488034
place,market_history,horse_dist_band_win_rate,0.27030219075048845
place,market_history,horse_jyo_past_starts,0.2677673662668911
place,market_history,horse_jockey_win_rate,0.25531666216401616
place,market_history,ZogenFugo,0.23534859900325666
place,market_history,horse_dist_band_past_starts,0.19927423761860547
place,market_history,horse_last5_place_paid_rate,0.159625527795594
place,market_history,place_rank_limit,0.02686567683455329
place,market_history,SibaBabaCD,0.0
place,market_history,DirtBabaCD,0.0
place,market_history,place_bet_available_by_rule,0.0
place,market_aware,horse_last1_avg_finish,7.4864130984160315
place,market_aware,tan_odds,6.782519290923693
place,market_aware,fuku_odds_low,5.481917780692896
place,market_aware,horse_last3_avg_ninki,4.007949466183195
place,market_aware,horse_last3_avg_finish,2.925047933871605
place,market_aware,horse_surface_top3_rate,2.520484495513356
place,market_aware,BaTaijyu,2.4687261930617943
place,market_aware,horse_days_since_last,2.3237612131713843
place,market_aware,horse_last5_avg_ninki,2.115165485781191
place,market_aware,JyoCD,2.078174397695123
place,market_aware,MonthDay,1.8582273821070872
place,market_aware,JyokenCD5,1.75298790955981
place,market_aware,jockey_jyo_top3_rate,1.7465143573974795
place,market_aware,tan_ninki,1.6955077046243796
place,market_aware,SyussoTosu,1.6311093636563065
place,market_aware,KisyuCode,1.5887593268293383
place,market_aware,TorokuTosu,1.5279828312398889
place,market_aware,ChokyosiCode,1.4682782700080288
place,market_aware,horse_last3_avg_haron_l3,1.4325684590025731
place,market_aware,jockey_top3_rate,1.3815405608784899
place,market_aware,horse_last5_avg_haron_l3,1.3795884153611708
place,market_aware,horse_last5_avg_finish,1.3444582584967173
place,market_aware,jockey_dist_band_top3_rate,1.3420310205115844
place,market_aware,horse_last3_win_rate,1.3343381387162072
place,market_aware,Kyori,1.323511773635839
place,market_aware,horse_distance_diff_last,1.3085103396634323
place,market_aware,jockey_ren_rate,1.2340504102197758
place,market_aware,horse_last5_avg_time,1.092171649339246
place,market_aware,GradeCD,1.0895478448955758
place,market_aware,horse_last5_top3_rate,1.038623782938441
place,market_aware,horse_surface_win_rate,1.0311464122741225
place,market_aware,trainer_past_starts,1.0005178853603738
